"country","total_earnings","pct_earning_per_country","total_subscribers","pct_subscribers_per_country","total_views","pct_views_per_country"
"United States","1157719066","39.62","7329500000","46.29","3690291816959","46.86"
"India","951814826","32.58","4310600000","27.22","2281048375204","28.96"
"Brazil","184791322","6.32","1221800000","7.72","481208974267","6.11"
"South Korea","170096900","5.82","481700000","3.04","225591685416","2.86"
"United Kingdom","93458351","3.20","917400000","5.79","430566531608","5.47"
"Pakistan","83450338","2.86","155400000","0.98","113293417419","1.44"
"Argentina","79953501","2.74","328500000","2.07","194415353954","2.47"
"Russia","73690646","2.52","407200000","2.57","232996328527","2.96"
"United Arab Emirates","64485700","2.21","148200000","0.94","75320613402","0.96"
"Indonesia","62445102","2.14","534100000","3.37","151010669055","1.92"
